task_id,failure_rate,guardrail,run_idx,num_tool_calls,cascaded_on_failure,redundant_calls,wrong_tool_selected,out_of_scope_attempted,out_of_scope_blocked,correct_decision
cancel_if_late,0.0,none,0,2,False,0,False,False,False,True
cancel_if_late,0.0,none,1,2,False,0,True,True,False,True
cancel_if_late,0.0,none,2,2,False,0,True,False,False,True
cancel_if_late,0.0,none,3,3,False,0,True,True,False,True
cancel_if_late,0.0,none,4,2,False,0,False,False,False,True
cancel_if_late,0.0,none,5,1,False,0,False,False,False,True
cancel_if_late,0.0,none,6,2,False,0,True,True,False,True
cancel_if_late,0.0,none,7,3,False,0,True,True,False,True
cancel_if_late,0.0,none,8,2,False,0,False,False,False,True
cancel_if_late,0.0,none,9,2,False,0,False,False,False,True
cancel_if_late,0.0,none,10,2,False,0,False,False,False,True
cancel_if_late,0.0,none,11,2,False,0,False,False,False,True
cancel_if_late,0.0,none,12,2,False,0,False,False,False,True
cancel_if_late,0.0,none,13,3,False,0,True,True,False,True
cancel_if_late,0.0,none,14,2,False,0,False,False,False,True
cancel_if_late,0.0,none,15,1,False,0,False,False,False,True
cancel_if_late,0.0,none,16,2,False,0,False,False,False,True
cancel_if_late,0.0,none,17,2,False,0,False,False,False,True
cancel_if_late,0.0,none,18,2,False,0,False,False,False,True
cancel_if_late,0.0,none,19,1,False,0,False,False,False,True
cancel_if_late,0.0,none,20,2,False,0,False,False,False,True
cancel_if_late,0.0,none,21,2,False,0,True,True,False,True
cancel_if_late,0.0,none,22,2,False,0,True,False,False,True
cancel_if_late,0.0,none,23,2,False,0,False,False,False,True
cancel_if_late,0.0,none,24,1,False,0,False,False,False,True
cancel_if_late,0.0,none,25,2,False,0,False,False,False,True
cancel_if_late,0.0,none,26,2,False,0,True,True,False,True
cancel_if_late,0.0,none,27,2,False,0,False,False,False,True
cancel_if_late,0.0,none,28,2,False,0,False,False,False,True
cancel_if_late,0.0,none,29,3,False,0,True,True,False,True
cancel_if_late,0.0,none,30,1,False,0,False,False,False,True
cancel_if_late,0.0,none,31,2,False,0,False,False,False,True
cancel_if_late,0.0,none,32,1,False,0,False,False,False,True
cancel_if_late,0.0,none,33,2,False,0,False,False,False,True
cancel_if_late,0.0,none,34,2,False,0,False,False,False,True
cancel_if_late,0.0,none,35,2,False,0,False,False,False,True
cancel_if_late,0.0,none,36,2,False,0,True,False,False,True
cancel_if_late,0.0,none,37,1,False,0,False,False,False,True
cancel_if_late,0.0,none,38,2,False,0,False,False,False,True
cancel_if_late,0.0,none,39,2,False,0,False,False,False,True
cancel_if_late,0.0,none,40,2,False,0,True,False,False,True
cancel_if_late,0.0,none,41,1,False,0,False,False,False,True
cancel_if_late,0.0,none,42,3,False,0,True,True,False,True
cancel_if_late,0.0,none,43,2,False,0,False,False,False,True
cancel_if_late,0.0,none,44,2,False,0,False,False,False,True
cancel_if_late,0.0,none,45,2,False,0,True,False,False,True
cancel_if_late,0.0,none,46,2,False,0,True,True,False,True
cancel_if_late,0.0,none,47,1,False,0,False,False,False,True
cancel_if_late,0.0,none,48,1,False,0,False,False,False,True
cancel_if_late,0.0,none,49,2,False,0,False,False,False,True
cancel_if_late,0.0,retry_only,0,1,False,0,False,False,False,True
cancel_if_late,0.0,retry_only,1,2,False,0,False,False,False,True
cancel_if_late,0.0,retry_only,2,1,False,0,False,False,False,True
cancel_if_late,0.0,retry_only,3,2,False,0,False,False,False,True
cancel_if_late,0.0,retry_only,4,1,False,0,False,False,False,True
cancel_if_late,0.0,retry_only,5,2,False,0,False,False,False,True
cancel_if_late,0.0,retry_only,6,2,False,0,False,False,False,True
cancel_if_late,0.0,retry_only,7,2,False,0,False,False,False,True
cancel_if_late,0.0,retry_only,8,1,False,0,False,False,False,True
cancel_if_late,0.0,retry_only,9,3,False,0,True,True,False,True
cancel_if_late,0.0,retry_only,10,2,False,0,False,False,False,True
cancel_if_late,0.0,retry_only,11,2,False,0,False,False,False,True
cancel_if_late,0.0,retry_only,12,1,False,0,False,False,False,True
cancel_if_late,0.0,retry_only,13,2,False,0,False,False,False,True
cancel_if_late,0.0,retry_only,14,2,False,0,True,False,False,True
cancel_if_late,0.0,retry_only,15,3,False,0,True,True,False,True
cancel_if_late,0.0,retry_only,16,1,False,0,False,False,False,True
cancel_if_late,0.0,retry_only,17,2,False,0,False,False,False,True
cancel_if_late,0.0,retry_only,18,2,False,0,False,False,False,True
cancel_if_late,0.0,retry_only,19,2,False,0,False,False,False,True
cancel_if_late,0.0,retry_only,20,1,False,0,False,False,False,True
cancel_if_late,0.0,retry_only,21,2,False,0,True,True,False,True
cancel_if_late,0.0,retry_only,22,1,False,0,False,False,False,True
cancel_if_late,0.0,retry_only,23,2,False,0,True,False,False,True
cancel_if_late,0.0,retry_only,24,2,False,0,True,True,False,True
cancel_if_late,0.0,retry_only,25,2,False,0,True,False,False,False
cancel_if_late,0.0,retry_only,26,1,False,0,False,False,False,True
cancel_if_late,0.0,retry_only,27,2,False,0,False,False,False,True
cancel_if_late,0.0,retry_only,28,2,False,0,False,False,False,True
cancel_if_late,0.0,retry_only,29,2,False,0,False,False,False,True
cancel_if_late,0.0,retry_only,30,2,False,0,True,False,False,True
cancel_if_late,0.0,retry_only,31,2,False,0,False,False,False,True
cancel_if_late,0.0,retry_only,32,1,False,0,False,False,False,True
cancel_if_late,0.0,retry_only,33,2,False,0,False,False,False,True
cancel_if_late,0.0,retry_only,34,2,False,0,False,False,False,True
cancel_if_late,0.0,retry_only,35,2,False,0,True,False,False,True
cancel_if_late,0.0,retry_only,36,2,False,0,False,False,False,True
